artist_name,artist_uri,album_name,album_uri,track_name,track_id,popularity,total_tracks,release_date,release_date_precision
Enviado Vida,spotify:artist:0oIm7Qj3lCZzwr1xLlRqT8,Deep House Essentials 2020 (DJ Mix),spotify:album:6SG2BDxDA3pvkZD6zlEop8,2 Years Later - Mixed,3KtR1TvZW4bF3IHhFOwXDO,9,22,2020-02-15,day
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,BestWORK,spotify:album:3NAFzZ2TD9j2dJt1UzxEKG,7 rings,6u1vVbLxa7YjVWrX4MvDhU,1,13,2020-03-25,day
Jax Jones,spotify:artist:4Q6nIcaBED8qUel8bBx6Cr,Tequila (Jax Jones & Martin Solveig Present Europa),spotify:album:182zkdqP3Rfgbk6jzpWFsz,Tequila - Jax Jones & Martin Solveig Present Europa,39WnpwsWrLXpxafV5FwYVh,68,2,2020-02-21,day
Tobi & Manny,spotify:artist:50y1BeMwfz8MCB3YfH9qoj,Destined For Greatness,spotify:album:7dmeYBFA29dhmPbXgfamwe,Destined For Greatness,2NlDF79eSeqe5FwmoVNdnG,70,1,2020-02-07,day
Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,Eleven,spotify:album:66o9dDjDduf6jpvZKzAXm4,Eleven,1ToprX3cpBiXoAe5eNSk74,82,1,2020-01-09,day
Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,spotify:album:6EgJXcGqaUvgZIF9bqPXfP,"fuck, i'm lonely (with Anne-Marie)",09PGubKAMryhOWv1LHpCYz,79,21,2020-03-06,day
Gerry Cinnamon,spotify:artist:7cpCnhhBIU1gA7EhTFApN1,Where We're Going,spotify:album:3yU6K9E3iUWRpZzV09V8Ru,Where We're Going,2Funh8wU3oKKk2jkmjLIkD,65,1,2020-02-21,day
Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,Worry About Me (feat. blackbear),spotify:album:4qYPknuYBlnDaHsUchr7z3,Worry About Me (feat. blackbear),0wsfdPl7p3yKjQBmHQsaDn,75,1,2020-03-13,day
Tom Grennan,spotify:artist:5SHxzwjek1Pipl1Yk11UHv,This is the Place,spotify:album:2rGhEawehqYozpPmAwjxr3,This is the Place,2HXWTuHE8NZgK7ZmCVBTHX,70,1,2020-01-20,day
Don Toliver,spotify:artist:4Gso3d4CscCijv0lmajZWs,Heaven Or Hell,spotify:album:7z4GhRfLqfSkqrj5F3Yt2B,No Idea,7AzlLxHn24DxjgQX73F9fU,80,12,2020-03-13,day
Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp,Lonely (Acoustic) [feat. Harlee],spotify:album:52nCYUqH6NX4Nzkvp8PlJC,Lonely (Acoustic) [feat. Harlee],28ZSWElxYl3YGj025Ypqvp,32,1,2020-03-13,day
DigDat,spotify:artist:47rT8CoKTbr0S945AGgATQ,Ei8ht Mile,spotify:album:4C3UTxhLUXd9WiiKQpZ2FN,Ei8ht Mile (feat. Aitch),5hI4RRn6wXpEZJUhvkTUNV,70,13,2020-01-17,day
Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp,Lonely (VIZE Remix),spotify:album:1JnVjAG94XKvSHpREdmmX2,Lonely - VIZE Remix,5i3gtoJzksoukfdyG1BRwI,40,1,2020-03-20,day
Mabel,spotify:artist:1MIVXf74SZHmTIp4V4paH4,Boyfriend (Tiësto Remix),spotify:album:1qCSbXOM8CFnPquAoZHgYy,Boyfriend - Tiësto Remix,3TK4wdc3QKWD4UQL4hSF89,0,1,2020-03-27,day
Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp,Lonely (The Remixes),spotify:album:5grlIiLfecfedADsAGkVwU,Lonely - Goodboys Remix,1ktNul9hy7BsCekrpd4d8D,0,3,2020-03-27,day
Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp,Lonely (The Remixes),spotify:album:5grlIiLfecfedADsAGkVwU,Lonely - Tobtok Remix,4fpGN761yPwOOPQ1YqqhIc,0,3,2020-03-27,day
Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp,Lonely (The Remixes),spotify:album:5grlIiLfecfedADsAGkVwU,Lonely - Robbie Doherty Remix,6N6q1GNA3ej5CbVe4mIZ0O,0,3,2020-03-27,day
M24,spotify:artist:601bmA9VRZnMVclsxG7W6T,London (feat. Tion Wayne),spotify:album:4CDUyj6tjOqjZB2IDaLjol,London (feat. Tion Wayne),0jgO2f0lAPSs36KBAHx9Dl,70,1,2020-02-06,day
Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,Run,spotify:album:6vC3YjRy755VljFSemBUu7,Run,6p8eEdiZLKJH8tcjGZuNTK,82,1,2020-02-06,day
Rita Ora,spotify:artist:5CCwRZC6euC8Odo6y9X8jr,How To Be Lonely,spotify:album:2RQx4y8NvRHBHtGkUmCnzX,How To Be Lonely,7ydjUPZFQVYZ54NLmoISfG,71,1,2020-03-13,day
MEDUZA,spotify:artist:0xRXCcSX89eobfrshSVdyu,Born To Love (feat. SHELLS),spotify:album:0IWQ03rzSQW44CkVQDREtY,Born To Love (feat. SHELLS),2IL2OsHC29dlszciTnOw3m,73,1,2020-02-14,day
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Changes,spotify:album:63iWSELt9V1kV6RSMxN7Ii,Yummy,16wAOAZ2OkqoIDN7TpChjR,84,17,2020-02-14,day
Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4,Like It Is,spotify:album:0lWWqdcdtFgSd1j06F9JZC,Like It Is,3frUvGrmGcay91lvFbOgsN,0,1,2020-03-27,day
Lil Tecca,spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo,All Star,spotify:album:45LIS5vxDcdMniZcD6biUD,All Star (with Lil Tjay),62uolmVjOio9xIfwDM1ZvC,74,1,2020-03-13,day
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Music To Be Murdered By,spotify:album:4otkd9As6YaxxEkIjXPiZ6,Darkness,5SiZJoLXp3WOl3J4C8IK0d,79,20,2020-01-17,day
JAY1,spotify:artist:0BKx4UjPvXVGY15u0xFbbi,Flex (feat. JB Scofield),spotify:album:6DfUOfMeLYEIsfbk8up3Sp,Flex (feat. JB Scofield),0VJu2YKyBXyCFVE6cZaGpS,68,1,2020-02-13,day
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,Didn't I,spotify:album:02ATSOBqF7ddYG1248wCgH,Didn't I,6ikDZX0oc8EKGj2vdMAEDv,77,1,2020-03-13,day
Anne-Marie,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,Her,spotify:album:2RewEjwnjhUnDlGpFnaBNx,Her,2GjQ5KNXggsIRpx5ZUj2zX,46,1,2020-03-22,day
Anne-Marie,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,Birthday (James Hype Remix),spotify:album:5fS2mMUCP7Ftj2iBeY0Tg0,Birthday - James Hype Remix,4jkLqBO8isPZMji591rBe9,46,1,2020-03-20,day
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Nostalgia,spotify:album:3uZiPlIMf0TYM7LzDUnrNS,This Love,47F4eyziKxKXq2NL0q5j38,0,38,2020-03-27,day
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Love Songs,spotify:album:6dy5sZvKwdU5hlTONcU4x9,She Will Be Loved - Radio Mix,5gHhpQd7KfKICZPnL4FxWV,0,24,2020-03-27,day
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Love Songs,spotify:album:6dy5sZvKwdU5hlTONcU4x9,What Lovers Do,64C62qJvQTf4xvh8PpHUuA,0,24,2020-03-27,day
